AID,BIO_SEX,IMONTH,IDAY,IYEAR,H1GI1M,H1GI1Y,H1GI4,H1GI6A,H1GI6B,H1GI6C,H1GI6D,H1GI6E,H1GI8,H1GI9,H1NM4,H1NF4,H1RM1,H1RF1
90508671,2,5,9,95,5,79,0,1,0,0,0,0,7,1,97,97,4,8
90508969,2,7,11,95,8,79,0,1,0,0,0,0,7,1,97,97,4,7
90508987,1,5,9,95,7,78,0,0,1,0,0,0,7,2,97,97,8,8
90540850,1,7,7,95,5,79,1,1,0,0,0,0,7,1,2,97,2,7
90543102,1,5,10,95,4,78,1,0,0,0,0,1,7,5,5,97,97,2
90543104,2,7,24,95,8,78,1,0,0,0,0,1,7,1,97,97,2,2
90543806,1,7,25,95,10,76,1,0,0,1,0,0,7,3,97,97,97,97
90544204,2,7,3,95,9,79,0,0,1,0,0,0,7,2,97,8,8,97
90544989,2,6,29,95,10,79,0,1,0,0,0,0,7,1,97,97,8,7
90546223,1,9,14,95,7,78,0,1,0,0,1,0,4,4,6,8,2,3
90548078,2,5,10,95,5,79,0,1,0,0,0,0,7,1,97,97,8,97
90570023,2,6,9,95,2,78,0,1,0,0,0,0,7,1,97,97,4,4
90570051,1,4,20,95,5,76,1,0,0,0,0,1,7,5,97,97,2,97
90570080,1,10,8,95,9,78,0,0,1,1,0,0,2,2,97,97,4,4
90570118,2,5,5,95,2,76,1,0,0,0,0,1,7,5,97,1,1,97
90570180,1,6,27,95,2,79,0,0,1,0,0,0,7,2,97,97,8,9
90570184,2,5,18,95,7,77,0,0,0,0,1,0,7,5,97,97,2,4
90570190,2,6,23,95,7,80,0,1,0,0,0,0,7,1,97,97,5,4
90570220,1,8,23,95,4,78,0,1,0,0,0,0,7,1,97,97,4,6
90570222,1,7,20,95,10,77,0,1,0,0,0,0,7,1,97,2,4,2
90570280,1,8,2,95,11,76,1,0,0,0,0,1,7,2,97,97,6,97
90570282,1,7,11,95,6,79,0,0,1,0,0,0,7,2,97,4,4,8
90570354,1,6,15,95,6,78,1,0,0,0,0,1,7,5,97,97,7,97
90570373,1,6,15,95,1,78,0,1,0,0,0,0,7,1,97,4,4,4
90570388,1,5,10,95,8,75,0,1,0,0,0,0,7,1,4,97,97,4
